zone,min,max,mean,std,count
1,-0.052548222,0.101734385,0.031877972,0.031058926,1116
2,-0.06352066,0.10808187,0.032083873,0.031134205,1948
3,-0.05300162,0.116678394,0.0216585,0.026852574,3386
4,-0.06242622,0.093430206,0.014060642,0.019943576,3622
5,-0.0440756,0.09484306,0.016175505,0.018057961,2323
6,-0.039263245,0.08773483,0.019262023,0.019508738,2866
7,-0.0440234,0.088185154,0.024094662,0.023504065,2175
8,-0.05592534,0.102140404,0.03376078,0.027218156,1045
